2018-08-16, SELL EXECUTED, 211.75

2018-08-16, SELL EXECUTED, 211.75

2018-08-16, NET, +2.53

2018-08-16, BUY ATTEMPT, 212.58
2018-08-16, SELL EXECUTED, 211.75

2018-08-16, SELL EXECUTED, 211.75

2018-08-16, NET, +2.53

2018-08-16, BUY ATTEMPT, 212.58
2018-08-17, BUY EXECUTED, 213.44
2018-08-17, SELL ATTEMPT, 216.82
2018-08-17, BUY EXECUTED, 213.44
2018-08-17, SELL ATTEMPT, 216.82
2018-08-17, BUY EXECUTED, 213.44
2018-08-17, SELL ATTEMPT, 216.82
2018-08-20, SELL EXECUTED, 218.10

2018-08-20, SELL EXECUTED, 218.10

2018-08-20, NET, +4.66

2018-08-20, BUY ATTEMPT, 214.71
2018-08-20, SELL EXECUTED, 218.10

2018-08-20, SELL EXECUTED, 218.10

2018-08-20, NET, +4.66

2018-08-20, BUY ATTEMPT, 214.71
2018-08-20, SELL EXECUTED, 218.10

2018-08-20, SELL EXECUTED, 218.10

2018-08-20, NET, +4.66

2018-08-20, BUY ATTEMPT, 214.71
2018-08-21, BUY EXECUTED, 216.80
2018-08-21, SELL ATTEMPT, 214.29
2018-08-21, BUY EXECUTED, 216.80
2018-08-21, SELL ATTEMPT, 214.29
2018-08-21, BUY EXECUTED, 216.80
2018-08-21, SELL ATTEMPT, 214.29
2018-08-22, SELL EXECUTED, 214.10

2018-08-22, SELL EXECUTED, 214.10

2018-08-22, NET, -2.70

2018-08-22, BUY ATTEMPT, 214.30
2018-08-22, SELL EXECUTED, 214.10

2018-08-22, SELL EXECUTED, 214.10

2018-08-22, NET, -2.70

2018-08-22, BUY ATTEMPT, 214.30
2018-08-22, SELL EXECUTED, 214.10

2018-08-22, SELL EXECUTED, 214.10

2018-08-22, NET, -2.70

2018-08-22, BUY ATTEMPT, 214.30
2018-08-23, BUY EXECUTED, 214.65
2018-08-23, SELL ATTEMPT, 214.74
2018-08-23, BUY EXECUTED, 214.65
2018-08-23, SELL ATTEMPT, 214.74
2018-08-23, BUY EXECUTED, 214.65
2018-08-23, SELL ATTEMPT, 214.74
2018-08-24, SELL EXECUTED, 216.60

2018-08-24, SELL EXECUTED, 216.60

2018-08-24, NET, +1.95

2018-08-24, BUY ATTEMPT, 215.41
2018-08-24, SELL EXECUTED, 216.60

2018-08-24, SELL EXECUTED, 216.60

2018-08-24, NET, +1.95

2018-08-24, BUY ATTEMPT, 215.41
2018-08-24, SELL EXECUTED, 216.60

2018-08-24, SELL EXECUTED, 216.60

2018-08-24, NET, +1.95

2018-08-24, BUY ATTEMPT, 215.41
2018-08-27, BUY EXECUTED, 217.15
2018-08-27, SELL ATTEMPT, 217.18
2018-08-27, BUY EXECUTED, 217.15
2018-08-27, SELL ATTEMPT, 217.18
2018-08-27, BUY EXECUTED, 217.15
2018-08-27, SELL ATTEMPT, 217.18
2018-08-28, SELL EXECUTED, 219.01

2018-08-28, SELL EXECUTED, 219.01

2018-08-28, NET, +1.86

2018-08-28, BUY ATTEMPT, 218.94
2018-08-28, SELL EXECUTED, 219.01

2018-08-28, SELL EXECUTED, 219.01

2018-08-28, NET, +1.86

2018-08-28, BUY ATTEMPT, 218.94
2018-08-28, SELL EXECUTED, 219.01

2018-08-28, SELL EXECUTED, 219.01

2018-08-28, NET, +1.86

2018-08-28, BUY ATTEMPT, 218.94
2018-08-29, BUY EXECUTED, 220.15
2018-08-29, SELL ATTEMPT, 222.20
2018-08-29, BUY EXECUTED, 220.15
